date,channel,ticker,side,strike,bid,pct,R_used,qty,avg,exit,added,pnl,book,r_mult
2026-08-05,etf-options,QQQ,call,730,2.15,30.0,528957858.44,15629944,2.0306,2.795,True,1194822381.0,6484400965.37,2.26
2026-08-05,high-confidence-options,MSFT,put,487.5,1.0,0.0,648440096.54,25937603,1.0,1.0,False,0.0,6484400965.37,0.0
2026-08-06,etf-options,QQQ,call,713,2.13,46.0,648440096.54,19340383,2.0117,3.1098,True,2123831931.09,8608232896.46,3.28
2026-08-06,high-confidence-options,SPY,call,772,1.3,10.0,860823289.65,42067382,1.2278,1.43,True,850695950.0,9458928846.46,0.99
2026-08-06,options-king,SLV,call,58,1.4,90.0,945892884.65,42922869,1.3222,2.66,True,5742126033.0,15201054879.46,6.07
2026-08-06,options-king,POET,call,9,0.68,27.0,1520105487.95,142016774,0.6422,0.8636,True,3143935781.64,18344990661.1,2.07
2026-08-10,options-king,NVDA,put,220,1.65,30.0,1834499066.11,70633118,1.5583,2.145,True,4143809587.5,22488800248.6,2.26
2026-08-10,options-king,NVDA,call,225,2.53,40.0,2248880024.86,56470365,2.3894,3.542,True,6508523290.5,28997323539.1,2.89
2026-08-11,etf-options,SPY,put,773,0.99,200.0,2899732353.91,186079081,0.935,2.97,True,37867092981.3,66864416520.4,13.06
2026-08-13,etf-options,QQQ,call,732,0.99,30.0,6686441652.04,429076468,0.935,1.287,True,15103491668.1,81967908188.5,2.26
2026-08-13,options-king,NVDA,call,227.50,1.99,18.0,8196790818.85,261677034,1.8794,2.3482,True,12266256344.88,94234164533.38,1.5
2026-08-13,high-confidence-options,WDAY,put,205,4.5,44.44,9423416453.34,133036466,4.25,6.4998,True,29930544108.18,124164708641.56,3.18
2026-08-17,options-king,TSLA,call,345,2.3,30.43,12416470864.16,342961342,2.1722,2.9999,True,28385805170.74,152550513812.3,2.29
2026-08-18,options-king,NVDA,call,230,3.5,15.0,15255051381.23,276898411,3.3056,4.025,True,19921302345.0,172471816157.3,1.31
2026-08-18,etf-options,SPX,call,7710,1.3,-25.0,17247181615.73,842848694,1.2278,0.975,True,-21305341986.5,151166474170.8,-1.24
2026-08-18,etf-options,QQQ,call,718,2.65,5.66,15116647417.08,362396874,2.5028,2.8,True,10770878007.13,161937352177.93,0.71
2026-08-19,etf-options,QQQ,put,717,0.99,350.0,16193735217.79,1039170174,0.935,4.455,True,365787901244.7,527725253422.63,22.59
2026-08-19,options-king,NVDA,call,225,3.8,19.0,52772525342.26,882265128,3.5889,4.522,True,82325139375.6,610050392798.23,1.56
2026-08-20,etf-options,QQQ,put,710,1.35,15.0,61005039279.82,2870825377,1.275,1.5525,True,79665404208.75,689715797006.98,1.31
2026-08-20,high-confidence-options,SOXL,put,120,2.67,25.0,68971579700.7,1641095087,2.5217,3.3375,True,133886007507.0,823601804513.98,1.94
2026-08-24,options-king,NVDA,call,225,2.15,-30.0,82360180451.4,2433625031,2.0306,1.505,True,-127900515520.5,695701288993.48,-1.55
2026-08-24,etf-options,QQQ,call,706,1.05,100.0,69570128899.35,4209285109,0.9917,2.1,True,466529099583.75,1162230388577.23,6.71
2026-08-25,etf-options,QQQ,call,714,1.25,20.0,116223038857.72,5906865033,1.1806,1.5,True,188691521887.5,1350921910464.73,1.62
2026-08-25,high-confidence-options,QQQ,call,711,0.73,25.0,135092191046.47,11756612919,0.6894,0.9125,True,262237782608.7,1613159693073.43,1.94
2026-08-25,etf-options,SPX,call,7670,1.8,110.0,161315969307.34,5693504798,1.7,3.78,True,1184248997991.0,2797408691064.43,7.34
2026-08-26,platinum-options,TSLA,call,360,2.6,9.8,279740869106.44,6835297253,2.4556,2.8548,True,272895445431.44,3070304136495.87,0.98
2026-08-26,etf-options,QQQ,call,712,1.39,8.33,307030413649.59,14032706167,1.3128,1.5058,True,270844170288.84,3341148306784.71,0.88
2026-08-27,etf-options,QQQ,call,720,0.9,10.0,334114830678.47,23584576283,0.85,0.99,True,330184067962.5,3671332374747.21,0.99
2026-08-27,platinum-options,NVDA,call,230,1.4,17.0,367133237474.72,16659827582,1.3222,1.638,True,526080333203.6,4197412707950.81,1.43
2026-08-27,platinum-options,TSLA,call,360,2.6,28.78,419741270795.08,10256121548,2.4556,3.3483,True,915589041097.74,5113001749048.56,2.18
2026-08-31,options-king,TSLA,call,360,3.7,50.0,511300174904.86,8779080904,3.4944,5.55,True,1804588852493.0,6917590601541.56,3.53
2026-08-31,options-king,TSLL,call,10,0.75,22.0,691759060154.16,58596061565,0.7083,0.915,True,1210985272342.5,8128575873884.06,1.75
2026-08-31,platinum-options,NVDA,put,210,2.0,30.0,812857587388.41,25820182186,1.8889,2.6,True,1836101844330.0,9964677718214.06,2.26
2026-08-31,platinum-options,TSLA,call,360,2.6,100.0,996467771821.41,24348081301,2.4556,5.2,True,6682195645931.0,16646873364145.06,6.71
2026-09-01,etf-options,QQQ,put,710,1.15,20.0,1664687336414.51,91962267177,1.0861,1.38,True,2702668852027.5,19349542216172.56,1.62
2026-09-02,platinum-options,TSLA,call,355,1.27,100.0,1934954221617.26,96792522432,1.1994,2.54,True,12975575368241.1,32325117584413.66,6.71
2026-09-02,etf-options,QQQ,put,705,1.25,50.0,3232511758441.37,164287656428,1.1806,1.875,True,11408865029712.5,43733982614126.16,3.53
2026-09-02,options-king,GOOGL,call,340,3.05,100.0,4373398261412.62,91094891461,2.8806,6.1,True,29327494223126.75,73061476837252.9,6.71
2026-09-03,high-confidence-options,QQQ,call,712,1.3,400.0,7306147683725.29,357042511240,1.2278,6.5,True,188240746203757.0,261302223041009.9,25.76
2026-09-03,platinum-options,TSLA,call,390,1.9,150.0,26130222304100.99,873704027505,1.7944,4.75,True,258228079240363.47,519530302281373.4,9.88
